currency,directive,O.Country,country,expenseTypeCode,Rate,vatThreshold,comparison,amount,status,reason
EUR,Any,Any,DO,30,18,2,LT,13.11,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,DO,31,18,2,LT,13.11,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,DO,34,18,2,LT,13.11,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,EC,4,12,2,LT,18.67,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,EC,5,12,2,LT,18.67,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,EC,6,12,2,LT,18.67,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,EC,12,12,2,LT,18.67,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,EC,18,12,2,LT,18.67,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,EC,20,12,2,LT,18.67,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,EC,21,12,2,LT,18.67,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,EC,22,12,2,LT,18.67,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,EC,25,12,2,LT,18.67,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,EC,27,12,2,LT,18.67,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,EC,30,12,2,LT,18.67,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,EC,31,12,2,LT,18.67,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,EC,34,12,2,LT,18.67,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,EE,4,9.09,2,LT,24,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,EE,5,9,2,LT,24.22,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,EE,6,20,2,LT,12,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,EE,12,20,2,LT,12,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,EE,18,9.09,2,LT,24,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,EE,20,20,2,LT,12,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,EE,21,20,2,LT,12,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,EE,22,20,2,LT,12,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,EE,27,20,2,LT,12,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,EE,30,20,2,LT,12,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,EE,31,9.09,2,LT,24,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,EE,34,20,2,LT,12,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,ES,4,9.5,2,LT,23.05,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,ES,5,10,2,LT,22,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,ES,6,10,2,LT,22,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,ES,12,21,2,LT,11.52,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,ES,18,9.5,2,LT,23.05,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,ES,20,21,2,LT,11.52,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,ES,21,21,2,LT,11.52,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,ES,22,10,2,LT,22,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,ES,25,10,2,LT,22,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,ES,27,21,2,LT,11.52,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,ES,30,21,2,LT,11.52,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,ES,31,9.5,2,LT,23.05,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,ES,34,9.5,2,LT,23.05,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,FI,4,24,2,LT,10.33,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,FI,5,10,2,LT,22,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,FI,6,24,2,LT,10.33,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,FI,12,24,2,LT,10.33,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,FI,18,24,2,LT,10.33,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,FI,20,24,2,LT,10.33,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,FI,22,10,2,LT,22,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,FI,27,24,2,LT,10.33,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,FI,30,24,2,LT,10.33,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,FI,31,24,2,LT,10.33,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,FR,6,20,2,LT,12,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,FR,12,20,2,LT,12,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,FR,18,15.38,2,LT,15,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,FR,20,20,2,LT,12,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,FR,21,20,2,LT,12,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,FR,25,10,2,LT,22,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,FR,27,20,2,LT,12,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,FR,30,20,2,LT,12,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,FR,31,20,2,LT,12,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,FR,34,20,2,LT,12,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,GB,4,20,2,LT,12,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,GB,5,20,2,LT,12,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,GB,6,20,2,LT,12,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,GB,12,20,2,LT,12,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,GB,18,20,2,LT,12,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,GB,20,20,2,LT,12,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,GB,21,20,2,LT,12,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
